Date,Description,Amount
2026-05-01,ACME UNIVERSITY PAYROLL DEPOSIT,4200.00
2026-05-02,LOBLAWS #4021,-142.37
2026-05-03,NETFLIX.COM,-16.99
2026-05-03,SPOTIFY PREMIUM,-11.99
2026-05-04,STARBUCKS STORE 2291,-6.45
2026-05-05,PETRO-CANADA #0113,-58.20
2026-05-06,UBER EATS,-34.10
2026-05-07,AMAZON.CA*A1B2C3,-89.99
2026-05-09,SHOPPERS DRUG MART,-24.50
2026-05-10,PRESTO FARE,-45.00
2026-05-11,CINEPLEX CINEMAS,-28.50
2026-05-12,HYDRO ONE BILLING,-112.40
2026-05-14,METRO GROCERY,-97.65
2026-05-15,TIM HORTONS #442,-5.20
2026-05-16,GITHUB.COM SUBSCRIPTION,-10.00
2026-05-18,RENT - MAPLE PROPERTY MGMT,-1850.00
2026-05-20,GOLF CLUB MEMBERSHIP MONTHLY,-95.00
2026-05-22,BEST BUY CANADA,-249.99
2026-05-25,INTERAC E-TRANSFER SENT,-200.00
2026-05-28,WALMART SUPERCENTRE,-76.34
2026-06-01,ACME UNIVERSITY PAYROLL DEPOSIT,4200.00
2026-06-02,LOBLAWS #4021,-158.02
2026-06-03,NETFLIX.COM,-16.99
2026-06-03,SPOTIFY PREMIUM,-11.99
2026-06-04,STARBUCKS STORE 2291,-4.95
2026-06-05,PETRO-CANADA #0113,-61.75
2026-06-06,UBER EATS,-28.40
2026-06-08,SHOPPERS DRUG MART,-18.20
2026-06-10,PRESTO FARE,-52.50
2026-06-12,HYDRO ONE BILLING,-104.10
2026-06-13,METRO GROCERY,-88.90
2026-06-15,TIM HORTONS #442,-6.10
2026-06-16,GITHUB.COM SUBSCRIPTION,-10.00
2026-06-18,RENT - MAPLE PROPERTY MGMT,-1850.00
2026-06-20,GOLF CLUB MEMBERSHIP MONTHLY,-95.00
2026-06-22,AIR CANADA FLIGHT,-412.60
2026-06-24,MARRIOTT HOTEL,-289.00
2026-06-26,CANADIAN TIRE #331,-63.45
2026-06-27,ANNUAL FEE - VISA,-120.00
2026-06-29,DENTAL CLINIC PAYMENT,-180.00
