grant_id,grant_name,fiscal_year,category,description,direct_cost
R01-AA001,Empathy and Stress Reactivity in Forensic Populations,2026,Personnel,PI salary (2 summer months),18500
R01-AA001,Empathy and Stress Reactivity in Forensic Populations,2026,Fringe Benefits,Fringe on PI salary,4995
R01-AA001,Empathy and Stress Reactivity in Forensic Populations,2026,Equipment,Eye-tracking system,32000
R01-AA001,Empathy and Stress Reactivity in Forensic Populations,2026,Travel,Conference travel - 2 RAs,4200
R01-AA001,Empathy and Stress Reactivity in Forensic Populations,2026,Supplies,EEG electrodes and gel,2100
R01-AA001,Empathy and Stress Reactivity in Forensic Populations,2026,Subcontract,Collaborating site - imaging analysis,42000
R01-AA001,Empathy and Stress Reactivity in Forensic Populations,2026,Indirect,F&A on MTDC,19000
R21-BB002,Affective Processing and Psychopathic Traits,2026,Personnel,Postdoc salary,52000
R21-BB002,Affective Processing and Psychopathic Traits,2026,Supplies,Participant compensation,6000
R21-BB002,Affective Processing and Psychopathic Traits,2026,Travel,Site visit travel,1800
K01-CC003,Neural Correlates of Stress Coping in Early Career Researchers,2026,Personnel,PI salary (1 summer month),9250
K01-CC003,Neural Correlates of Stress Coping in Early Career Researchers,2026,Fringe Benefits,Fringe on PI salary,2497.50
K01-CC003,Neural Correlates of Stress Coping in Early Career Researchers,2026,Supplies,Survey licensing,1500
K01-CC003,Neural Correlates of Stress Coping in Early Career Researchers,2026,Other,Publication fees,2200
