item,category,amount,date,justification
Graduate student stipend - Q1,Personnel,12000,2026-05-01,RA salary for aim 2 data collection
Conference registration,Dissemination,650,2026-06-15,Presenting grant-funded findings
Lab holiday party wine,Hospitality,180,2026-12-10,
Team lunch after data collection wrap-up,Hospitality,220,2026-07-20,research team lunch after final data collection session
Office party catering,Hospitality,300,2026-08-01,
Passport renewal for fieldwork,Travel,120,2026-05-10,needed for international fieldwork
Tuition reimbursement for RA,Personnel,5000,2026-09-01,
General office internet service,Overhead,400,2026-04-15,
Commute mileage reimbursement,Travel,85,2026-05-20,daily commute between home and lab
International driver's licence,Travel,25,2026-05-20,
Flight booked with frequent flyer points,Travel,450,2026-06-01,reimbursement claimed for booking
Sabbatical housing costs,Personal,2000,2026-10-01,
Equipment - oscilloscope,Equipment,3200,2026-05-15,
Equipment - laptop for data analysis,Equipment,1800,2026-05-15,dedicated device for fMRI data analysis pipeline
Field data collection supplies purchased before grant start,Supplies,300,2026-03-15,questionnaires for pilot
Post-grant wrap-up meeting,Travel,150,2027-04-05,
